category,name,price,unit
Sample prep materials,Extraction tube (polypropylene),0.10,pcs
Sample prep materials,Filter paper (qualitative),0.03,pcs
Sample prep materials,Glass extraction tube,0.20,pcs
Sample prep materials,Glass vial (headspace),0.30,pcs
Sample prep materials,Micro centrifuge tube (1.5–2 mL),0.05,pcs
Sample prep materials,Micro pipette tip (filtered),0.03,pcs
Sample prep materials,Micro pipette tip (universal),0.01,pcs
Sample prep materials,Nylon syringe filter (0.22 µm),0.25,pcs
Sample prep materials,Nylon syringe filter (0.45 µm),0.20,pcs
Sample prep materials,"Peptide cleanup plates (C18, StageTips)",2.50,pcs
Sample prep materials,pH strip,0.02,pcs
Sample prep materials,"Protein digestion kits (trypsin, LysC)",3.00,pcs
Sample prep materials,PTFE syringe filter (0.22 µm),0.40,pcs
Sample prep materials,PTFE syringe filter (0.45 µm),0.35,pcs
Sample prep materials,PVDF syringe filter (0.22 µm),0.30,pcs
Sample prep materials,PVDF syringe filter (0.45 µm),0.25,pcs
Sample prep materials,QuEChERS dispersive SPE tube (dSPE),0.60,pcs
Sample prep materials,QuEChERS extraction pouch (salts),0.50,pcs
Sample prep materials,Septum (headspace vial),0.10,pcs
Sample prep materials,Solidphase microextraction fiber (SPME),3.00,pcs
Sample prep materials,SPE cartridge (C18),1.00,pcs
Sample prep materials,SPE cartridge (HLB),1.50,pcs
Sample prep materials,SPE cartridge (mixedmode),1.80,pcs
Sample prep materials,SPE cartridge (SAX),1.20,pcs
Sample prep materials,SPE cartridge (SCX),1.20,pcs
Sample prep materials,"Syringe (disposable, 1–5 mL)",0.10,pcs
Sample prep materials,"Syringe (disposable, 10 mL)",0.15,pcs
Sample prep materials,Vial insert (glass),0.10,pcs
Sample prep materials,Vial insert (polymer),0.08,pcs
Sample prep materials,Weighing boat (plastic),0.03,pcs
Sample prep materials,Weighing paper,0.02,pcs
Sample prep materials,Isotopelabeled internal standards,5.00,pcs
